Region,Year,Sample_size,Accuracy
xinan,2011_2013,5.00,0.9335548172757475
xinan,2011_2013,50.00,0.9551495016611296
xinan,2011_2013,55.00,0.9551495016611296
xinan,2011_2013,60.00,0.9551495016611296
xinan,2011_2013,65.00,0.9584717607973422
xinan,2011_2013,70.00,0.9601328903654485
xinan,2011_2013,75.00,0.9568106312292359
xinan,2011_2013,80.00,0.9584717607973422
xinan,2011_2013,85.00,0.9568106312292359
xinan,2011_2013,90.00,0.9584717607973422
xinan,2011_2013,95.00,0.9534883720930233
xinan,2014_2016,0.10,0.6129568106312292
xinan,2014_2016,0.40,0.6943521594684385
xinan,2014_2016,0.70,0.7458471760797342
xinan,2014_2016,1.00,0.8056478405315615
xinan,2014_2016,1.50,0.9219269102990033
xinan,2014_2016,10.00,0.9534883720930233
xinan,2014_2016,15.00,0.9501661129568106
xinan,2014_2016,2.00,0.9485049833887044
xinan,2014_2016,20.00,0.9501661129568106
xinan,2014_2016,25.00,0.9601328903654485
xinan,2014_2016,30.00,0.96843853820598
xinan,2014_2016,35.00,0.9601328903654485
xinan,2014_2016,40.00,0.9634551495016611
xinan,2014_2016,45.00,0.96843853820598
xinan,2014_2016,5.00,0.9568106312292359
xinan,2014_2016,50.00,0.9667774086378738
xinan,2014_2016,55.00,0.9634551495016611
xinan,2014_2016,60.00,0.9667774086378738
xinan,2014_2016,65.00,0.9634551495016611
xinan,2014_2016,70.00,0.9651162790697675
xinan,2014_2016,75.00,0.9667774086378738
xinan,2014_2016,80.00,0.9651162790697675
xinan,2014_2016,85.00,0.9634551495016611
xinan,2014_2016,90.00,0.9634551495016611
xinan,2014_2016,95.00,0.9667774086378738
xinan,2017_2019,0.10,0.6843853820598007
xinan,2017_2019,0.40,0.8488372093023255
xinan,2017_2019,0.70,0.920265780730897
xinan,2017_2019,1.00,0.9235880398671097
xinan,2017_2019,1.50,0.9385382059800664
xinan,2017_2019,10.00,0.9385382059800664
xinan,2017_2019,15.00,0.9485049833887044
xinan,2017_2019,2.00,0.9318936877076412
xinan,2017_2019,20.00,0.9518272425249169
xinan,2017_2019,25.00,0.9534883720930233
xinan,2017_2019,30.00,0.9534883720930233
xinan,2017_2019,35.00,0.9501661129568106
xinan,2017_2019,40.00,0.9534883720930233
xinan,2017_2019,45.00,0.9518272425249169
xinan,2017_2019,5.00,0.9335548172757475
xinan,2017_2019,50.00,0.9518272425249169
xinan,2017_2019,55.00,0.9501661129568106
xinan,2017_2019,60.00,0.9518272425249169
xinan,2017_2019,65.00,0.9568106312292359
xinan,2017_2019,70.00,0.9584717607973422
xinan,2017_2019,75.00,0.9534883720930233
xinan,2017_2019,80.00,0.9551495016611296
xinan,2017_2019,85.00,0.9551495016611296
xinan,2017_2019,90.00,0.9568106312292359
xinan,2017_2019,95.00,0.9534883720930233
