Year,In_Bands,Tree,Accuracy
1990_1992,Spectrum_Normalize,50,0.9448669201520913
1990_1992,Spectrum_Normalize,51,0.9486692015209125
1990_1992,Spectrum_Normalize,52,0.9467680608365019
1990_1992,Spectrum_Normalize,53,0.9486692015209125
1990_1992,Spectrum_Normalize,54,0.9448669201520913
1990_1992,Spectrum_Normalize,55,0.9429657794676806
1990_1992,Spectrum_Normalize,56,0.9448669201520913
1990_1992,Spectrum_Normalize,57,0.9429657794676806
1990_1992,Spectrum_Normalize,58,0.9486692015209125
1990_1992,Spectrum_Normalize,59,0.9448669201520913
1990_1992,Spectrum_Normalize,60,0.9372623574144486
1990_1992,Spectrum_Normalize,61,0.9486692015209125
1990_1992,Spectrum_Normalize,62,0.9467680608365019
1990_1992,Spectrum_Normalize,63,0.9486692015209125
1990_1992,Spectrum_Normalize,64,0.94106463878327
1990_1992,Spectrum_Normalize,65,0.9505703422053232
1990_1992,Spectrum_Normalize,66,0.9448669201520913
1990_1992,Spectrum_Normalize,67,0.9448669201520913
1990_1992,Spectrum_Normalize,68,0.9448669201520913
1990_1992,Spectrum_Normalize,69,0.9429657794676806
1990_1992,Spectrum_Normalize,70,0.9467680608365019
1990_1992,Spectrum_Normalize,71,0.9505703422053232
1990_1992,Spectrum_Normalize,72,0.9486692015209125
1990_1992,Spectrum_Normalize,73,0.9486692015209125
1990_1992,Spectrum_Normalize,74,0.9486692015209125
1990_1992,Spectrum_Normalize,75,0.94106463878327
1990_1992,Spectrum_Normalize,76,0.9429657794676806
1990_1992,Spectrum_Normalize,77,0.9448669201520913
1990_1992,Spectrum_Normalize,78,0.9448669201520913
1990_1992,Spectrum_Normalize,79,0.9467680608365019
1990_1992,Spectrum_Normalize,80,0.9524714828897338
1990_1992,Spectrum_Normalize,81,0.9486692015209125
1990_1992,Spectrum_Normalize,82,0.9391634980988594
1990_1992,Spectrum_Normalize,83,0.9448669201520913
1990_1992,Spectrum_Normalize,84,0.9429657794676806
1990_1992,Spectrum_Normalize,85,0.9467680608365019
1990_1992,Spectrum_Normalize,86,0.9429657794676806
1990_1992,Spectrum_Normalize,87,0.9448669201520913
1990_1992,Spectrum_Normalize,88,0.94106463878327
1990_1992,Spectrum_Normalize,89,0.9467680608365019
1990_1992,Spectrum_Normalize,90,0.9486692015209125
1990_1992,Spectrum_Normalize,91,0.9448669201520913
1990_1992,Spectrum_Normalize,92,0.9505703422053232
1990_1992,Spectrum_Normalize,93,0.9429657794676806
1990_1992,Spectrum_Normalize,94,0.9448669201520913
1990_1992,Spectrum_Normalize,95,0.9467680608365019
1990_1992,Spectrum_Normalize,96,0.9467680608365019
1990_1992,Spectrum_Normalize,97,0.9467680608365019
1990_1992,Spectrum_Normalize,98,0.9448669201520913
1990_1992,Spectrum_Normalize,99,0.9467680608365019
1990_1992,Spectrum_Normalize,100,0.9505703422053232
1990_1992,Spectrum_Normalize,101,0.9448669201520913
1990_1992,Spectrum_Normalize,102,0.9448669201520913
1990_1992,Spectrum_Normalize,103,0.9448669201520913
1990_1992,Spectrum_Normalize,104,0.9505703422053232
1990_1992,Spectrum_Normalize,105,0.94106463878327
1990_1992,Spectrum_Normalize,106,0.9429657794676806
1990_1992,Spectrum_Normalize,107,0.9448669201520913
1990_1992,Spectrum_Normalize,108,0.9467680608365019
1990_1992,Spectrum_Normalize,109,0.9448669201520913
1990_1992,Spectrum_Normalize,110,0.9429657794676806
1990_1992,Spectrum_Normalize,111,0.9486692015209125
1990_1992,Spectrum_Normalize,112,0.9467680608365019
1990_1992,Spectrum_Normalize,113,0.9467680608365019
1990_1992,Spectrum_Normalize,114,0.9448669201520913
