system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000197,40,34,29,42,29,195,195,20,38,1,155,30,405,-160,60,157,-106,-139,99,0,-5,574,50,18,13,-6,-3,-48,-2,20,25,-100,28,3,-89,-18,16,0,3.8423843,382.16666,0.17166778,98736.664,0.0114336675,140.33333,292.74,1.4093306,"{""type"":""Point"",""coordinates"":[109.2958219637275,24.833251022362298]}"
1_000000000000000001d0,36,31,30,49,53,201,200,39,40,1,164,29,1373,-103,-31,54,-118,3,96,-4,-9,1151,-16,-97,-50,111,5,-118,-4,20,386,-72,-23,20,-58,-2,53,0,2.963033,356.5,0.18333444,92472.664,0.009606667,137.91667,288.50665,1.1886638,"{""type"":""Point"",""coordinates"":[109.32142166287534,25.33639814882892]}"
1_00000000000000000211,37,30,28,34,27,193,193,19,30,1,144,24,-2951,-155,2,33,51,-23,-126,11,-12,1032,-19,-16,79,-44,-85,-14,-4,15,-1061,-123,-15,37,10,-20,-50,4,5.9140754,382.16666,0.16916777,99704.0,0.011203334,137.33333,292.7333,1.6579973,"{""type"":""Point"",""coordinates"":[113.23421149165723,25.974022844865356]}"
1_00000000000000000246,40,38,41,52,62,200,200,54,40,1,123,24,1538,-5,-26,56,-64,4,28,-5,-3,-957,-80,26,-12,27,8,-25,3,15,-229,-41,-38,34,-17,-17,13,1,2.9659274,373.66666,0.15333444,99312.0,0.010566667,138.66667,291.38,2.4273305,"{""type"":""Point"",""coordinates"":[111.66925876324304,26.29687959753905]}"
1_00000000000000000249,36,35,37,44,48,200,199,35,36,1,107,9,986,-70,-24,-8,-9,-21,-19,-3,-5,-4944,216,-76,-31,-11,178,-124,18,7,-57,-64,-5,8,-7,-16,7,0,3.606975,380.58334,0.16500111,99611.336,0.010915333,136.91667,292.50998,1.7013305,"{""type"":""Point"",""coordinates"":[113.10916937991651,26.12143626659122]}"
1_0000000000000000027c,36,29,28,35,30,200,199,26,32,1,144,16,-351,-64,-71,25,-62,-34,-43,1,-8,431,-30,-37,-3,5,-17,-32,-1,11,-404,-97,-18,7,-25,-35,-6,1,1.3898259,373.58334,0.15333444,99398.664,0.010233667,140.16667,291.61,2.0293305,"{""type"":""Point"",""coordinates"":[111.28792535935443,26.39551045374022]}"
1_0000000000000000027d,39,33,29,34,30,198,198,25,34,1,123,21,1399,-69,45,0,-23,-47,77,-4,-8,-570,-29,-5,-17,-8,12,-16,1,14,-246,-81,0,16,-15,-34,22,1,0.92740995,373.5,0.13916779,99737.336,0.010392667,139.08333,291.48334,2.5393307,"{""type"":""Point"",""coordinates"":[111.81909793594197,26.70111940353918]}"
1_00000000000000000281,35,29,28,37,30,190,190,24,32,1,154,15,1139,-80,11,20,-9,-48,0,-3,-9,-1434,20,-34,3,5,8,0,5,15,52,-70,-14,11,1,-18,8,0,1.0360705,380.66666,0.17083445,99063.336,0.011164667,139.25,292.76334,2.7919972,"{""type"":""Point"",""coordinates"":[113.27409815058031,26.47824907378691]}"
1_000000000000000002ae,35,27,20,21,7,191,190,4,24,1,263,6,-2740,-154,167,107,-61,-162,38,10,-19,-7194,-278,472,305,-210,-334,152,24,4,-1490,-105,100,70,-50,-87,12,5,0.0,361.41666,0.13750112,96609.336,0.009561334,138.0,289.30334,1.6646639,"{""type"":""Point"",""coordinates"":[109.61894180336336,26.954712939549708]}"
1_000000000000000002b5,40,33,29,32,25,193,193,19,32,1,65,9,-446,-11,-13,0,30,47,12,1,-8,-1263,-40,-4,-28,37,34,7,4,7,-301,-40,-5,0,13,18,1,1,3.251112,380.41666,0.13416778,100676.0,0.012052667,143.83333,292.53333,4.769331,"{""type"":""Point"",""coordinates"":[112.63647345454386,26.884647084696912]}"
