system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000bfd,35,199,198,29,24,18,92,43,17,22,0,0,42,47,3675,-139,-100,72,103,193,-143,-10,-22,-2869,50,3,-95,-161,-100,36,8,28,2422,-99,-63,60,55,108,-92,-6,1.4408355,353.875,0.15000111,101148.0,0.009816501,149.125,289.61,2.3869972,"{""type"":""Point"",""coordinates"":[115.07944101678582,32.76798055551235]}"
000000000000000010fc,31,193,191,25,19,13,56,25,10,16,0,0,388,46,146,-61,-19,16,-91,-9,-4,1,-22,-314,25,-11,28,68,0,4,0,24,685,10,-26,8,-145,-24,-33,-1,9.685899,382.375,0.15000111,97001.0,0.012138,146.5,293.33,1.2919972,"{""type"":""Point"",""coordinates"":[114.59300660106749,24.455150466737464]}"
00000000000000001182,37,194,191,31,26,20,43,21,12,23,0,0,31,38,-249,-173,-64,9,-209,86,-40,1,-24,-890,48,68,-22,24,-40,9,2,20,1966,-114,-64,19,-179,41,-53,-5,2.3290677,369.375,0.15000111,100916.0,0.0112375,138.625,291.01498,2.6639972,"{""type"":""Point"",""coordinates"":[112.27616025302122,29.808122917357103]}"
000000000000000013b4,33,196,193,27,24,17,78,45,21,20,0,0,64,52,119,-68,-7,25,-90,10,11,1,-21,845,39,-34,6,48,-2,-15,-3,28,252,-31,-18,-8,-89,-1,-5,0,8.075289,396.375,0.15000111,100499.0,0.0139705,173.25,296.12,2.0889974,"{""type"":""Point"",""coordinates"":[116.0056944058097,23.25590199301951]}"
000000000000000013ea,29,195,193,23,18,12,52,20,10,16,0,0,1019,43,2151,-139,-73,37,-50,-49,32,-5,-22,-1137,36,53,-14,5,2,-47,2,22,3645,-149,-109,3,-46,-4,57,-10,29.534676,356.875,0.15000111,88084.0,0.011001,151.625,289.15,1.0649972,"{""type"":""Point"",""coordinates"":[106.25430480798049,24.47994306859462]}"
00000000000000000a21,33,195,192,26,21,13,59,18,7,18,0,0,47,49,-260,16,-51,33,-2,12,1,2,-27,189,-32,-9,4,18,-22,53,-1,24,-522,98,-24,35,-25,-4,-5,2,11.364813,381.5,0.15000111,96661.0,0.012823001,175.5,294.055,2.0889974,"{""type"":""Point"",""coordinates"":[116.15068207656245,23.087196363763443]}"
0000000000000000087a,35,197,194,29,24,18,74,42,19,20,0,0,110,46,652,-199,36,13,-61,-27,26,0,-20,-645,104,-4,-5,3,14,-3,1,23,1796,-120,36,0,-54,-37,14,-4,13.622427,383.25,0.15000111,99837.0,0.013703501,138.5,292.625,4.225997,"{""type"":""Point"",""coordinates"":[112.29960620636025,26.648836443687532]}"
000000000000000011eb,33,194,191,26,22,13,79,30,12,18,0,0,456,51,2198,-279,27,65,-31,-101,30,-5,-25,-1075,54,-13,-9,-13,52,9,2,21,2381,-194,17,48,-21,-107,53,-6,26.441233,348.625,0.15000111,91156.0,0.0097925,135.0,287.0,1.2809973,"{""type"":""Point"",""coordinates"":[110.06253317616013,27.40288380912839]}"
00000000000000001728,43,188,187,37,30,26,39,20,13,29,0,0,27,37,6846,-234,19,-11,-203,12,-57,-21,-22,1189,27,-6,-8,20,-46,11,-4,19,5567,-113,-25,2,-163,-2,-23,-17,2.137588,369.375,0.15000111,101090.0,0.0113315005,140.875,291.075,2.6609974,"{""type"":""Point"",""coordinates"":[112.31011630754323,29.84342562039723]}"
000000000000000013f3,39,197,193,34,30,25,25,8,4,27,0,0,8,24,-4631,-110,8,9,0,2,-2,15,-19,-4927,66,-55,91,0,-59,-11,15,15,-5549,-55,-15,3,4,-6,0,18,4.0422587,398.625,0.15000111,101728.0,0.013596,171.875,296.59,1.8809972,"{""type"":""Point"",""coordinates"":[116.48916797842845,23.612982346278404]}"
