system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001286,46,208,207,45,54,69,87,105,93,59,1,0,1098,10,-294,-2,5,0,-3,5,2,1,-1,260,-37,-23,-16,29,-9,18,0,8,-157,-6,1,-4,0,1,1,0,2.5038688,275.0,0.02083445,89140.664,0.0037113337,186.75,281.79333,4.969331,"{""type"":""Point"",""coordinates"":[107.23984640461099,42.236672064755155]}"
0000000000000000122f,41,211,210,40,45,54,64,80,74,48,0,0,1375,7,-262,1,8,0,5,6,10,1,0,889,-7,-60,-27,-49,-41,-38,-3,6,-119,0,-3,0,-7,0,2,0,0.92740995,271.25,0.02083445,86190.664,0.0033743337,192.41667,281.47,4.2133307,"{""type"":""Point"",""coordinates"":[104.31933141505029,40.758497901942064]}"
00000000000000001578,38,211,208,37,40,49,66,80,69,42,1,0,1190,13,-171,-18,21,-4,-1,0,2,1,-2,2589,-101,-93,-7,-38,-35,-12,-9,10,345,-32,-2,-2,-12,0,8,0,2.2644374,255.75,0.02083445,88034.0,0.0035296672,177.5,276.22333,3.7886639,"{""type"":""Point"",""coordinates"":[113.82818158838043,44.51902280705195]}"
000000000000000013f9,46,207,205,46,54,67,86,104,94,59,1,0,1545,11,-157,-4,9,1,-10,11,6,0,-5,1155,-81,-72,-43,-17,-52,-17,-4,8,108,-15,0,-8,-7,0,1,0,2.2321851,263.5,0.02083445,84766.664,0.0036373339,186.08333,278.9,4.2553306,"{""type"":""Point"",""coordinates"":[107.4538252868627,41.775297796957226]}"
000000000000000012ba,43,207,205,42,46,55,67,72,61,49,1,0,1443,8,-70,-2,7,1,-8,8,4,0,-8,122,-54,-40,-14,-8,-44,-16,0,7,41,-12,2,-3,-7,2,1,0,2.6522248,265.5,0.02083445,85289.336,0.0036810006,186.58333,279.37,4.504664,"{""type"":""Point"",""coordinates"":[107.14363684028186,41.76047574505556]}"
00000000000000001253,39,205,204,36,37,41,50,68,57,39,0,0,1250,7,-645,-22,7,7,-5,0,2,2,-4,2539,-47,-59,-22,-3,-22,-8,-8,5,-106,-23,3,-2,-1,0,0,0,4.6273675,267.5,0.02083445,86542.664,0.0035503337,186.33333,280.07,4.6459975,"{""type"":""Point"",""coordinates"":[107.7243946205837,42.297578926044174]}"
0000000000000000112d,46,214,211,45,48,57,64,76,66,52,0,0,886,6,-78,1,6,1,0,0,0,0,2,-1021,18,-16,-5,3,18,6,3,5,-210,3,1,0,0,3,1,0,1.5490531,281.5,0.02083445,91407.336,0.0032576672,189.91667,283.97998,4.9573307,"{""type"":""Point"",""coordinates"":[104.32957397017007,41.645404183270344]}"
000000000000000014cc,43,207,204,42,44,51,75,79,66,49,0,0,1022,15,1247,-62,27,-1,-47,35,-23,-3,-4,-1922,79,-22,-25,32,14,27,6,11,699,-45,13,1,-35,38,-18,-1,1.8543341,283.5,0.02083445,89858.0,0.0045886673,183.75,282.51,2.4259973,"{""type"":""Point"",""coordinates"":[108.40487127774375,41.19400046542791]}"
00000000000000001327,39,214,211,38,45,58,71,92,84,50,0,0,1292,8,40,-2,4,1,0,1,1,0,4,-1001,28,-10,-4,-12,25,-8,3,7,-38,1,0,1,-5,5,1,0,1.5394009,269.75,0.02083445,86878.0,0.0031103338,193.58333,281.44998,4.6099973,"{""type"":""Point"",""coordinates"":[103.67362236880395,41.00804703329711]}"
0000000000000000164d,35,202,200,31,30,29,78,57,40,23,0,0,1024,23,-2608,-133,15,0,-114,80,-5,9,-11,1345,67,-24,-16,110,-24,4,-5,20,-2487,-122,0,-5,-110,67,8,9,2.7802885,283.75,0.02083445,89834.0,0.004648334,184.16667,282.56,2.406664,"{""type"":""Point"",""coordinates"":[108.30569641121404,40.975170081230054]}"
0000000000000000004d,36,207,204,34,37,46,69,90,73,40,1,0,1175,16,-52,-27,18,8,-19,5,3,0,-3,3863,-101,-138,-11,-47,-26,-5,-13,13,699,-37,-16,8,-30,4,10,-1,0.92740995,254.08333,0.02083445,87601.336,0.0035286671,175.66667,275.59332,3.5946639,"{""type"":""Point"",""coordinates"":[114.4420883259136,44.56402851398438]}"
000000000000000017db,36,210,206,35,37,42,69,84,67,38,1,0,1269,16,275,-27,18,8,-23,6,1,0,-5,1973,-125,-118,5,-15,-18,5,-7,12,682,-43,-8,9,-26,4,6,-1,2.7654748,254.08333,0.02083445,87601.336,0.0035286671,175.66667,275.59332,3.5946639,"{""type"":""Point"",""coordinates"":[114.36635941272293,44.652693279331096]}"
00000000000000001528,42,208,206,42,48,61,87,99,84,51,1,0,1056,13,-258,-24,9,-9,-23,15,4,1,-1,617,29,-28,24,-5,-16,-4,-2,11,-240,-12,-5,5,-23,14,1,1,1.263991,268.16666,0.02083445,89216.0,0.0036373336,182.16667,279.77332,4.6179976,"{""type"":""Point"",""coordinates"":[112.42006882131909,42.80584510052015]}"
000000000000000015bd,43,208,205,42,50,66,94,112,93,55,0,0,1072,14,-519,-16,8,-3,-12,12,2,2,0,1536,-18,-56,2,-18,-11,-7,-5,12,-398,-14,-5,6,-13,11,-1,1,1.2639569,268.16666,0.02083445,89216.0,0.0036373336,182.16667,279.77332,4.6179976,"{""type"":""Point"",""coordinates"":[112.4529502324872,42.804230905938816]}"
0000000000000000144f,39,214,211,38,47,61,78,100,91,51,0,0,1316,9,72,1,0,-5,-10,6,0,0,5,1107,-50,15,22,-43,-55,-15,-3,9,239,-13,6,0,-15,-1,0,0,7.745849,280.16666,0.02083445,86843.336,0.0042040003,199.41667,282.97,2.728664,"{""type"":""Point"",""coordinates"":[104.13446154447549,38.90140716801135]}"
0000000000000000115f,43,214,211,42,47,61,71,81,74,51,0,0,787,7,-2,-2,6,-2,0,0,1,0,0,-272,12,-23,-1,-2,9,0,0,6,-23,0,0,-1,-2,2,1,0,2.635512,282.16666,0.02083445,91285.336,0.003395667,191.66667,284.07333,4.693331,"{""type"":""Point"",""coordinates"":[104.09618908013377,41.29371042408401]}"
0000000000000000157c,38,209,207,36,41,51,74,93,78,45,0,0,1127,13,5,-18,22,-4,-3,4,0,0,0,3474,-94,-71,-58,-103,-71,-61,-12,11,403,-32,4,-16,-17,-1,2,0,3.2028167,256.41666,0.02083445,89174.0,0.0034150004,179.66667,276.77,4.1759973,"{""type"":""Point"",""coordinates"":[112.30957675631575,44.81816160122237]}"
