system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000088b,41,183,183,35,28,28,33,28,23,27,0,1,88,16,425,-107,-13,9,-21,6,-20,0,-10,-760,31,18,-17,-6,22,28,2,10,-530,-53,5,-13,-15,14,2,2,1.8543341,367.25,0.24416777,97041.336,0.010859334,133.91667,290.44333,2.0059972,"{""type"":""Point"",""coordinates"":[114.60917530148728,27.388061757226733]}"
1_00000000000000000892,44,190,187,37,30,26,36,27,18,28,0,1,70,26,409,-133,-13,33,-48,14,23,0,-12,-494,72,-3,-5,8,28,4,1,15,-73,-78,-26,10,-58,13,-2,0,3.1288228,376.83334,0.24083444,100290.664,0.011350334,139.91667,292.19666,1.7959973,"{""type"":""Point"",""coordinates"":[115.44595682787379,27.32472914496465]}"
1_0000000000000000089f,36,204,201,31,26,27,36,39,35,26,0,1,110,17,-60,-84,1,18,-9,12,-2,0,-14,378,97,-47,9,-39,17,6,-1,9,196,-33,-10,-6,-29,13,-6,0,2.282922,376.75,0.29666778,99813.336,0.011945333,145.16667,292.24,2.030664,"{""type"":""Point"",""coordinates"":[116.91335334344068,27.292119738960796]}"
1_000000000000000008a3,40,184,183,35,25,22,29,29,25,24,0,1,201,21,-97,-115,0,-23,-13,-9,12,1,-11,-671,46,11,19,-27,62,7,2,10,-63,-51,-2,8,-10,30,-3,0,5.0056105,373.66666,0.28083444,98410.0,0.011705667,143.08333,291.72998,1.4206638,"{""type"":""Point"",""coordinates"":[117.48225883314248,27.336585894665763]}"
1_000000000000000008a9,41,197,193,35,27,22,44,43,34,23,0,1,149,29,-241,-110,12,-3,-18,-22,4,1,-11,288,52,32,11,-29,29,9,-1,14,-362,-57,27,30,-8,3,5,2,4.2695513,377.33334,0.25500113,99061.336,0.011598,144.33333,292.50665,0.9446639,"{""type"":""Point"",""coordinates"":[118.13254737617072,27.319070545727826]}"
1_000000000000000008b5,36,199,196,31,26,22,47,45,31,24,0,1,197,32,358,-57,-9,-11,-87,-8,31,0,-11,514,20,14,-8,35,21,0,-2,17,1959,-57,29,-10,-74,-8,34,-5,7.5856414,364.16666,0.28666776,94438.664,0.010737667,141.25,290.20667,0.90866387,"{""type"":""Point"",""coordinates"":[119.53984858684031,27.335239246147616]}"
1_000000000000000008c3,38,197,193,33,28,26,54,51,35,28,0,1,195,35,209,-144,22,22,-66,39,-39,0,-12,-76,88,23,-18,-18,-1,41,0,21,-905,-49,42,-3,-71,32,25,4,4.5639415,363.75,0.24833445,96283.336,0.010587667,134.16667,289.94,2.234664,"{""type"":""Point"",""coordinates"":[114.28766965643277,27.44761751089656]}"
1_000000000000000008c7,36,193,191,29,23,20,45,31,25,21,0,1,185,35,-1041,-180,16,-10,-56,-11,19,4,-15,346,100,20,6,23,-6,8,-1,19,-1872,-86,42,-17,-67,15,33,7,8.600493,374.33334,0.25833446,99672.0,0.011284334,135.0,291.65332,1.9113306,"{""type"":""Point"",""coordinates"":[114.7059244170439,27.513915425359194]}"
1_000000000000000008cd,40,191,188,35,30,27,32,30,25,29,0,1,59,27,515,-152,-13,24,-62,-4,27,0,-14,-914,72,11,-6,7,-4,-9,2,15,-65,-82,-24,10,-58,7,25,0,1.3979119,375.41666,0.24000111,100391.336,0.011061001,139.41667,292.04666,1.826664,"{""type"":""Point"",""coordinates"":[115.38262421561167,27.567273028564728]}"
1_000000000000000008d4,38,204,201,33,28,27,38,45,38,27,0,1,98,17,700,-83,28,14,0,-2,-3,-1,-8,-546,54,-53,-27,-7,-19,10,1,10,239,-48,-12,-12,-19,-6,-15,0,3.1351562,368.66666,0.24166778,98558.664,0.011013,144.5,291.07,2.132664,"{""type"":""Point"",""coordinates"":[116.21590088857016,27.548411031108653]}"
1_000000000000000008dd,44,203,200,41,34,32,47,53,55,31,0,1,242,22,-142,-76,-2,-1,-14,-18,-15,1,-10,235,75,-46,20,-24,64,-1,0,11,69,-31,-13,4,-22,16,-1,0,5.9033213,373.0,0.28250113,98496.0,0.011653334,142.5,291.62332,1.5879972,"{""type"":""Point"",""coordinates"":[117.32675660210565,27.542752431871833]}"
1_000000000000000008f7,42,194,192,37,30,28,31,29,26,28,0,1,14,14,-897,-56,-8,19,-29,-13,20,3,-9,184,-2,22,-16,15,-13,-27,0,8,79,-70,3,3,-1,-13,-4,0,2.28665,379.58334,0.21166778,101701.336,0.0114296675,141.16667,292.66,1.8979973,"{""type"":""Point"",""coordinates"":[120.4035764608928,27.508256826122366]}"
1_000000000000000008f8,43,203,199,39,33,31,45,48,44,32,0,1,9,17,-355,-55,-24,-2,-32,0,28,1,-8,396,-25,34,-10,35,-25,-27,-1,10,-340,-49,-1,-7,6,-15,-5,1,1.3972738,373.41666,0.20166779,100308.664,0.010898001,141.75,291.74332,2.1406639,"{""type"":""Point"",""coordinates"":[120.52485063224333,27.47753361986413]}"
1_000000000000000008f9,44,195,192,38,31,28,32,27,25,31,0,1,14,11,-336,-55,-22,13,-27,14,26,1,-8,425,-20,19,-34,28,-31,-16,-1,6,52,-52,-8,1,3,-1,9,0,4.185358,373.41666,0.20166779,100308.664,0.010898001,141.75,291.74332,2.1406639,"{""type"":""Point"",""coordinates"":[120.57120298769394,27.485350424010818]}"
1_000000000000000008fb,46,204,200,41,34,33,54,49,38,33,0,1,111,26,744,-98,8,14,-36,4,7,-1,-14,-877,43,23,-18,-11,2,37,2,13,-784,-58,12,-9,-30,43,15,3,2.9703414,378.58334,0.23333444,100196.664,0.012130667,132.91667,292.16,2.8699973,"{""type"":""Point"",""coordinates"":[113.81632037957829,27.662675495603207]}"
