system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000901,37,33,31,43,35,200,200,27,38,1,469,20,-674,-47,-23,47,6,-14,-48,3,-11,-911,38,1,38,2,-36,35,2,9,342,-43,-20,14,9,-10,-17,0,1.8543341,368.0,0.10250112,95961.336,0.009954334,120.416664,289.83667,1.3386639,"{""type"":""Point"",""coordinates"":[103.85014480220671,30.442514765129793]}"
1_00000000000000000903,33,28,26,39,31,189,189,24,34,1,421,27,1503,-152,-8,36,-17,-16,13,-4,-12,46,34,0,2,-27,-20,8,0,16,228,-93,-40,18,-4,-15,16,0,12.594926,371.25,0.09666778,96206.664,0.010379667,126.75,290.81332,2.0746639,"{""type"":""Point"",""coordinates"":[104.56457305478772,30.41044491035341]}"
1_00000000000000000904,32,29,25,52,39,184,183,25,41,1,438,33,275,-149,-18,32,-70,9,37,0,-9,-179,87,-6,10,-35,0,26,0,20,1403,-80,-14,24,-26,-17,61,-4,8.96181,371.16666,0.10083445,96356.0,0.010446667,127.0,290.77332,1.9893306,"{""type"":""Point"",""coordinates"":[104.92030675952846,30.330132041279793]}"
1_00000000000000000908,37,35,32,51,42,201,202,31,48,1,279,20,167,-82,-22,47,-69,36,14,0,-12,-128,30,-23,19,4,26,6,0,10,-289,-57,-16,14,-21,1,2,1,4.2509484,376.5,0.11166778,97914.664,0.010327667,128.33333,291.68332,1.3439972,"{""type"":""Point"",""coordinates"":[106.35967782497447,30.34280034737263]}"
1_0000000000000000090e,33,28,23,47,39,201,201,27,33,1,322,24,326,-146,-27,-16,-40,-36,48,0,-14,-775,2,4,6,58,17,14,2,13,389,-178,24,-2,7,-20,15,0,13.422095,355.08334,0.13416778,92147.336,0.009361001,129.33333,288.08667,1.6006639,"{""type"":""Point"",""coordinates"":[108.16502069117993,30.33606264568088]}"
1_00000000000000000946,28,31,40,54,53,187,187,46,45,1,3701,11,438,-47,6,-16,-12,26,-24,-1,-5,-518,25,19,18,19,-33,23,1,13,66,-48,12,0,-36,26,-3,0,5.3704753,254.58333,0.052501116,59865.332,0.0035760005,217.41667,276.43665,1.5073305,"{""type"":""Point"",""coordinates"":[97.97300502275452,30.57321547610734]}"
1_00000000000000000957,55,47,42,58,48,199,199,38,53,1,527,23,1961,-11,3,30,23,18,-40,-6,-8,-962,-29,37,-30,29,-10,25,3,9,857,-32,19,-8,31,-11,-31,-2,0.0,361.08334,0.13583446,95411.336,0.008377667,116.916664,288.75998,0.8386639,"{""type"":""Point"",""coordinates"":[103.4941390923017,30.568635979325453]}"
1_00000000000000000959,38,34,33,51,47,201,202,37,43,1,544,21,456,-58,-2,-7,-19,-39,-32,-1,-9,-1061,17,4,-14,9,-6,28,3,9,391,-56,-6,0,-2,-23,-27,-1,2.3429565,368.0,0.10250112,95961.336,0.009954334,120.416664,289.83667,1.3386639,"{""type"":""Point"",""coordinates"":[103.90538860515785,30.504763815835897]}"
1_0000000000000000095d,30,28,25,47,39,197,198,26,36,1,362,26,-2847,-128,-52,8,-76,-16,-6,11,-12,-733,77,-29,0,-12,-11,-6,2,16,-1016,-87,-26,4,-36,-8,-17,4,4.2816067,372.66666,0.11166778,97155.336,0.010500668,126.666664,290.98666,1.8839972,"{""type"":""Point"",""coordinates"":[105.15853869240986,30.520125418965023]}"
1_0000000000000000095f,37,30,31,43,43,199,200,35,36,1,268,16,-1110,-112,62,-21,-31,21,-20,4,-10,14,65,-50,41,-20,-35,-5,0,9,-139,-66,2,8,-19,11,-17,0,5.67517,375.33334,0.116667785,98026.0,0.010443,130.5,291.58667,1.4579972,"{""type"":""Point"",""coordinates"":[106.02900426815408,30.517432121928728]}"
