Year,Size,Acc_type,Acc_value
Training_sample_huadong_1996_1998,30.00,acc_RF,0.9327683615819209
Training_sample_huadong_1996_1998,35.00,acc_test,0.8932584269662921
Training_sample_huadong_1996_1998,35.00,acc_RF,0.9380445304937076
Training_sample_huadong_1996_1998,40.00,acc_test,0.900561797752809
Training_sample_huadong_1996_1998,40.00,acc_RF,0.9479034307496823
Training_sample_huadong_1996_1998,45.00,acc_test,0.900561797752809
Training_sample_huadong_1996_1998,45.00,acc_RF,0.9461596385542169
Training_sample_huadong_1996_1998,5.00,acc_test,0.8550561797752809
Training_sample_huadong_1996_1998,5.00,acc_RF,0.9389830508474576
Training_sample_huadong_1996_1998,50.00,acc_test,0.9039325842696629
Training_sample_huadong_1996_1998,50.00,acc_RF,0.9447644866147069
Training_sample_huadong_1996_1998,55.00,acc_test,0.900561797752809
Training_sample_huadong_1996_1998,55.00,acc_RF,0.9460874922982132
Training_sample_huadong_1996_1998,60.00,acc_test,0.9084269662921348
Training_sample_huadong_1996_1998,60.00,acc_RF,0.9474724654052528
Training_sample_huadong_1996_1998,65.00,acc_test,0.9067415730337078
Training_sample_huadong_1996_1998,65.00,acc_RF,0.9504692387904067
Training_sample_huadong_1996_1998,70.00,acc_test,0.9101123595505618
Training_sample_huadong_1996_1998,70.00,acc_RF,0.9489351403678606
Training_sample_huadong_1996_1998,75.00,acc_test,0.9067415730337078
Training_sample_huadong_1996_1998,75.00,acc_RF,0.9514343799412694
Training_sample_huadong_1996_1998,80.00,acc_test,0.9089887640449438
Training_sample_huadong_1996_1998,80.00,acc_RF,0.9502329521389242
Training_sample_huadong_1996_1998,85.00,acc_test,0.9117977528089888
Training_sample_huadong_1996_1998,85.00,acc_RF,0.952561291608531
Training_sample_huadong_1996_1998,90.00,acc_test,0.9101123595505618
Training_sample_huadong_1996_1998,90.00,acc_RF,0.9535015060240963
Training_sample_huadong_1996_1998,95.00,acc_test,0.9106741573033708
Training_sample_huadong_1996_1998,95.00,acc_RF,0.9516675584091314
Training_sample_huadong_1999_2001,0.10,acc_test,0.5034883720930232
Training_sample_huadong_1999_2001,0.10,acc_RF,0.4
Training_sample_huadong_1999_2001,0.40,acc_test,0.8337209302325581
Training_sample_huadong_1999_2001,0.40,acc_RF,0.8695652173913043
Training_sample_huadong_1999_2001,0.70,acc_test,0.8343023255813954
Training_sample_huadong_1999_2001,0.70,acc_RF,0.8536585365853658
Training_sample_huadong_1999_2001,1.00,acc_test,0.8517441860465116
Training_sample_huadong_1999_2001,1.00,acc_RF,0.847457627118644
Training_sample_huadong_1999_2001,1.50,acc_test,0.8511627906976744
Training_sample_huadong_1999_2001,1.50,acc_RF,0.9213483146067416
Training_sample_huadong_1999_2001,10.00,acc_test,0.8872093023255814
Training_sample_huadong_1999_2001,10.00,acc_RF,0.9563758389261745
Training_sample_huadong_1999_2001,15.00,acc_test,0.8941860465116279
Training_sample_huadong_1999_2001,15.00,acc_RF,0.9474272930648769
Training_sample_huadong_1999_2001,2.00,acc_test,0.8511627906976744
Training_sample_huadong_1999_2001,2.00,acc_RF,0.9243697478991597
Training_sample_huadong_1999_2001,20.00,acc_test,0.9
Training_sample_huadong_1999_2001,20.00,acc_RF,0.9370805369127517
Training_sample_huadong_1999_2001,25.00,acc_test,0.9005813953488372
Training_sample_huadong_1999_2001,25.00,acc_RF,0.9362416107382551
Training_sample_huadong_1999_2001,30.00,acc_test,0.9052325581395348
Training_sample_huadong_1999_2001,30.00,acc_RF,0.9407158836689038
Training_sample_huadong_1999_2001,35.00,acc_test,0.9098837209302325
Training_sample_huadong_1999_2001,35.00,acc_RF,0.9458552946813608
Training_sample_huadong_1999_2001,40.00,acc_test,0.9116279069767442
Training_sample_huadong_1999_2001,40.00,acc_RF,0.939622641509434
Training_sample_huadong_1999_2001,45.00,acc_test,0.9127906976744186
Training_sample_huadong_1999_2001,45.00,acc_RF,0.9426015654118524
Training_sample_huadong_1999_2001,5.00,acc_test,0.8790697674418605
Training_sample_huadong_1999_2001,5.00,acc_RF,0.9429530201342282
Training_sample_huadong_1999_2001,50.00,acc_test,0.911046511627907
Training_sample_huadong_1999_2001,50.00,acc_RF,0.9453203622945321
Training_sample_huadong_1999_2001,55.00,acc_test,0.911046511627907
Training_sample_huadong_1999_2001,55.00,acc_RF,0.9472400121988411
Training_sample_huadong_1999_2001,60.00,acc_test,0.9133720930232558
Training_sample_huadong_1999_2001,60.00,acc_RF,0.9505171931786414
Training_sample_huadong_1999_2001,65.00,acc_test,0.916860465116279
Training_sample_huadong_1999_2001,65.00,acc_RF,0.951741935483871
Training_sample_huadong_1999_2001,70.00,acc_test,0.9174418604651163
Training_sample_huadong_1999_2001,70.00,acc_RF,0.9537613799712505
Training_sample_huadong_1999_2001,75.00,acc_test,0.9180232558139535
Training_sample_huadong_1999_2001,75.00,acc_RF,0.9503577817531306
Training_sample_huadong_1999_2001,80.00,acc_test,0.9209302325581395
Training_sample_huadong_1999_2001,80.00,acc_RF,0.9530398322851154
Training_sample_huadong_1999_2001,85.00,acc_test,0.9186046511627907
Training_sample_huadong_1999_2001,85.00,acc_RF,0.9532359905288083
Training_sample_huadong_1999_2001,90.00,acc_test,0.922093023255814
Training_sample_huadong_1999_2001,90.00,acc_RF,0.9537830786433097
