system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001e4c,36,194,193,30,25,22,35,20,15,24,0,0,13,1390,-210,11,31,-146,36,7,-3,22,-16,9,1342,141,-13,-1,-56,-53,-33,-5,1313,-173,6,7,-146,-4,60,-3,2.534384,327.0,0.058751114,101468.0,0.0076815,163.625,287.485,2.3339972,"{""type"":""Point"",""coordinates"":[116.15877088587341,38.196681919322664]}"
00000000000000001ce9,39,203,201,34,31,26,94,61,35,31,0,0,39,137,-244,0,27,-191,118,-18,0,36,-9,18,79,120,-8,-46,80,-70,-38,0,454,-176,-33,22,-161,64,8,0,2.9631913,335.0,0.058751114,100594.0,0.0080120005,153.5,288.07,2.9219973,"{""type"":""Point"",""coordinates"":[115.23224549168526,36.71796374618105]}"
00000000000000000241,43,205,201,39,37,40,72,72,61,39,0,1,21,534,-115,-11,31,-22,15,-42,0,27,-7,12,1043,25,13,9,-22,-32,35,-3,106,-92,-26,23,-34,-15,2,0,1.4867637,331.125,0.058751114,101550.0,0.0072605005,165.25,288.175,1.8489972,"{""type"":""Point"",""coordinates"":[116.81445048207524,37.07019259749378]}"
000000000000000004bb,44,205,201,40,38,43,73,80,68,39,0,1,24,-368,-139,6,20,-49,72,-76,2,26,-5,12,2113,14,-21,-2,-32,-92,67,-7,633,-98,-21,14,-37,-1,-4,-1,0.0,331.125,0.058751114,101550.0,0.0072605005,165.25,288.175,1.8489972,"{""type"":""Point"",""coordinates"":[116.86565433947197,37.03542944568112]}"
000000000000000004df,43,205,202,40,37,41,74,75,61,34,0,1,22,77,-136,-3,14,-37,33,-53,0,27,-6,13,2719,9,-4,12,-41,-65,34,-9,701,-110,-28,18,-45,-10,4,-1,1.161733,331.125,0.058751114,101550.0,0.0072605005,165.25,288.175,1.8489972,"{""type"":""Point"",""coordinates"":[116.8729315923912,37.03596899690859]}"
0000000000000000120b,43,205,202,39,35,36,62,61,51,36,0,1,36,346,-123,-3,13,-56,12,6,0,18,-4,9,739,34,-29,-14,-6,-31,-13,-2,200,-96,-18,9,-65,0,20,0,1.4852822,333.25,0.058751114,100625.0,0.007979501,155.375,287.94998,2.9709973,"{""type"":""Point"",""coordinates"":[115.25245859676056,36.94622512910695]}"
00000000000000001838,47,205,202,44,40,44,66,68,59,36,0,0,34,-165,-81,12,15,-24,6,-1,1,18,-3,8,224,35,-29,-13,-10,-16,6,0,487,-58,-9,11,-31,-12,17,-1,4.368286,333.25,0.058751114,100625.0,0.007979501,155.375,287.94998,2.9709973,"{""type"":""Point"",""coordinates"":[115.24814664604186,36.98152783214708]}"
000000000000000002ec,40,205,202,36,33,39,73,79,67,33,0,1,42,352,-88,-10,21,6,7,-48,0,23,-1,13,143,-14,-14,-3,-42,-31,-8,0,182,-95,-25,32,-15,-12,-19,0,1.8543341,335.25,0.058751114,101083.0,0.0081845,156.625,288.06,2.7059975,"{""type"":""Point"",""coordinates"":[115.63487110310405,36.672418488021144]}"
0000000000000000198d,35,201,198,28,24,18,80,41,20,22,0,0,38,962,-245,-11,11,-166,6,28,-1,42,-12,20,-610,133,3,-28,90,-16,-80,1,1317,-192,-48,14,-147,-31,55,-3,4.6273675,335.25,0.058751114,100474.0,0.007965,152.625,288.11,2.9819973,"{""type"":""Point"",""coordinates"":[115.19047263301658,36.70017639207885]}"
00000000000000000332,41,205,203,37,37,46,72,83,74,40,1,1,43,468,-90,4,17,-3,5,-15,0,19,-1,10,-99,-14,-33,-15,-39,-16,-30,0,169,-81,-24,23,-22,-7,1,0,1.155438,335.25,0.058751114,100946.0,0.0081365,155.25,288.05,2.7429972,"{""type"":""Point"",""coordinates"":[115.54997873724854,36.619867982106285]}"
0000000000000000048f,46,204,202,43,39,45,65,76,67,41,0,1,18,-273,-91,13,5,-20,25,-30,1,16,-1,8,3280,-4,-33,-13,-21,-70,41,-10,277,-59,-19,1,-4,-14,6,0,2.1913757,329.5,0.058751114,101565.0,0.0077420007,161.375,287.46,2.1369972,"{""type"":""Point"",""coordinates"":[117.50489323008975,37.47578351111312]}"
00000000000000000859,44,207,205,40,40,44,76,70,58,34,0,1,18,430,-101,-46,42,-42,-4,10,0,24,-8,11,-1552,89,10,-4,6,-31,33,4,675,-91,-24,31,-63,-10,15,-1,0.0,327.625,0.058751114,101465.0,0.0078020003,164.0,287.505,2.3709972,"{""type"":""Point"",""coordinates"":[116.26198569795751,37.9026621731616]}"
00000000000000001252,40,207,204,37,38,44,76,75,59,35,0,1,19,3,-105,-43,43,-59,17,4,0,24,-7,12,-863,71,7,-15,19,-36,28,2,-107,-96,-26,36,-74,6,14,1,1.1757652,327.625,0.058751114,101465.0,0.0078020003,164.0,287.505,2.3709972,"{""type"":""Point"",""coordinates"":[116.20593033861466,37.93311337425558]}"
00000000000000001211,41,204,201,38,35,40,70,68,57,35,0,1,8,-50,-138,10,13,-81,31,-16,0,22,-5,10,1154,43,-26,-1,53,-51,-26,-3,844,-90,-29,15,-59,-11,10,-2,0.92740995,317.75,0.058751114,101621.0,0.0069975005,161.625,286.14502,2.5829973,"{""type"":""Point"",""coordinates"":[117.80295738090629,39.68186578899177]}"
000000000000000015d4,37,201,199,31,28,26,40,33,24,27,0,0,4,384,-159,23,16,-86,29,-18,0,22,-9,10,555,57,-18,-10,65,-64,-53,-2,799,-99,-44,26,-66,-30,31,-1,0.92740995,317.75,0.058751114,101621.0,0.0069975005,161.625,286.14502,2.5829973,"{""type"":""Point"",""coordinates"":[117.82451267539862,39.64332577858685]}"
0000000000000000027a,41,205,202,37,35,41,76,77,63,36,0,1,13,63,-146,3,23,-63,36,-33,0,25,-4,14,2176,53,-12,-26,12,-67,19,-7,908,-93,-17,0,-41,-22,15,-2,0.92740995,325.75,0.058751114,101562.0,0.007876,166.125,287.18,2.4579973,"{""type"":""Point"",""coordinates"":[117.27825050084626,37.82181421196157]}"
0000000000000000120a,36,205,203,32,30,34,70,61,47,28,0,1,54,-53,-155,12,15,-51,-5,18,0,22,-6,11,188,45,-22,-7,-3,-12,-42,0,451,-119,-24,18,-57,-16,8,0,2.9552493,337.875,0.058751114,100075.0,0.0078895,149.875,288.3,2.8649974,"{""type"":""Point"",""coordinates"":[114.96059705550935,36.37624499605128]}"
00000000000000001283,35,205,202,31,27,26,65,46,28,24,0,1,55,412,-166,1,18,-76,-2,11,0,28,-11,12,-219,65,-7,-8,17,-15,-36,0,1127,-116,-43,26,-78,-28,19,-2,1.4780675,337.875,0.058751114,100075.0,0.0078895,149.875,288.3,2.8649974,"{""type"":""Point"",""coordinates"":[114.9694885030099,36.32908108420898]}"
00000000000000001e36,69,205,203,69,66,66,67,50,56,66,0,0,50,-48,-63,37,10,26,17,3,0,7,-10,2,33,-10,-1,-10,-4,-18,0,0,21,-29,10,5,14,4,0,0,3.008493,337.875,0.058751114,100075.0,0.0078895,149.875,288.3,2.8649974,"{""type"":""Point"",""coordinates"":[114.99643930977693,36.332857942801255]}"
00000000000000000f20,34,200,197,29,25,20,84,48,25,25,0,0,43,2659,-94,-67,44,33,137,-69,-7,46,-16,20,-1057,43,80,-17,-56,-80,8,2,2332,-45,-36,-3,47,110,-42,-6,1.4459535,350.0,0.13000111,101260.0,0.009902501,159.875,289.51,2.5319972,"{""type"":""Point"",""coordinates"":[118.14143882367127,33.30023223455482]}"
000000000000000009da,35,199,196,31,28,25,82,50,27,31,0,1,89,1715,-174,31,-19,-48,32,-24,-4,38,-13,15,-2399,114,-21,-22,-18,-39,-18,7,1407,-104,24,-35,-25,-12,-13,-3,1.0929788,354.0,0.13000111,100588.0,0.0099605005,153.625,289.875,2.1759973,"{""type"":""Point"",""coordinates"":[115.08240631898634,31.95249123665606]}"
00000000000000001979,33,199,196,27,23,16,75,41,21,20,0,0,86,1028,-213,37,14,-61,-32,11,-1,46,-16,18,-1048,138,-30,-31,6,0,-10,2,634,-146,30,-9,-48,-52,0,0,4.2986255,354.0,0.13000111,100588.0,0.0099605005,153.625,289.875,2.1759973,"{""type"":""Point"",""coordinates"":[115.07001001805772,31.994264095324745]}"
00000000000000001e64,40,193,192,35,30,28,31,24,19,26,0,0,84,-298,-117,-3,22,-23,34,0,1,15,-11,6,-1510,77,-3,-8,-4,-5,-25,4,8,-78,-3,4,-14,2,7,0,3.7612972,354.0,0.13000111,100588.0,0.0099605005,153.625,289.875,2.1759973,"{""type"":""Point"",""coordinates"":[115.08779737215991,31.923114678915958]}"
00000000000000000d9d,36,195,193,30,25,18,91,26,13,22,0,0,4,-1622,-26,-67,57,59,58,-56,6,42,-18,14,-399,51,61,-50,-45,-31,78,0,-1902,-6,-34,6,42,36,-39,7,0.92740995,358.0,0.13000111,101553.0,0.0104815,156.875,290.31,1.5179973,"{""type"":""Point"",""coordinates"":[120.68088795540662,32.07618669987865]}"
00000000000000000d41,36,198,194,30,26,21,65,47,26,25,0,0,35,1263,-196,-39,36,-62,-8,7,-2,37,-13,17,-1280,197,-3,-21,34,-34,-16,3,645,-139,-50,32,-29,-29,-30,-1,1.433506,360.0,0.13000111,100839.0,0.0104545,148.625,290.22498,2.0929973,"{""type"":""Point"",""coordinates"":[117.38469816119412,31.97809093580389]}"
0000000000000000102e,37,200,198,31,26,21,82,41,21,24,0,1,27,278,-134,-16,2,-3,7,-57,0,42,-17,17,1243,70,0,-25,12,-17,22,-4,-306,-62,-35,-2,-10,-18,-63,2,2.9866269,360.0,0.13000111,100839.0,0.0104545,148.625,290.22498,2.0929973,"{""type"":""Point"",""coordinates"":[117.33592005477048,31.916916528451665]}"
000000000000000015c0,35,195,192,30,27,21,33,17,10,24,0,0,74,-1245,-174,-24,17,-70,10,4,4,24,-14,10,-956,76,-44,-3,20,-11,-11,2,-1193,-152,-1,-13,-60,-9,10,4,0.0,354.125,0.13000111,100514.0,0.0099985,153.875,289.895,2.1579971,"{""type"":""Point"",""coordinates"":[115.02716251603518,31.814508813658232]}"
00000000000000000e27,37,198,195,31,25,18,65,39,16,21,0,0,1,817,-104,-128,66,-73,53,-46,-1,43,-17,16,-861,69,68,-53,24,-54,39,1,-172,-55,-89,28,-48,27,-26,1,3.7846577,352.25,0.13000111,101633.0,0.010333,161.25,289.58002,2.1639972,"{""type"":""Point"",""coordinates"":[120.27772279276033,32.66476574342824]}"
00000000000000000f18,36,196,195,30,24,16,86,41,18,20,0,0,21,1182,-19,-80,121,138,183,-147,-2,56,-17,24,1153,10,82,-78,-171,-88,67,-4,1356,-31,-82,66,104,146,-67,-3,0.92740995,348.375,0.13000111,101242.0,0.0097305,163.875,289.54498,2.0529974,"{""type"":""Point"",""coordinates"":[117.48521967624195,33.44441280801693]}"
00000000000000000ed5,40,203,200,35,30,26,79,52,32,27,0,0,6,-1766,-82,55,-18,-70,-123,-28,7,42,-15,14,-789,27,-9,34,52,91,-13,1,-1841,-14,24,4,-22,-97,-24,6,1.1032752,350.375,0.13000111,101639.0,0.010515501,164.25,289.3,2.5709972,"{""type"":""Point"",""coordinates"":[120.63561470241099,32.80005041028874]}"
000000000000000009fc,42,203,201,37,34,33,53,48,40,33,0,1,5,519,-70,-12,27,-51,36,-22,0,24,-13,8,-1460,40,22,1,77,-12,0,4,251,-57,1,0,-26,-2,-23,0,1.4298686,362.5,0.13000111,101454.0,0.010259001,157.375,291.20502,1.5739973,"{""type"":""Point"",""coordinates"":[120.64396659868403,31.57304403251308]}"
00000000000000000d0d,37,200,198,31,30,24,73,55,32,23,0,0,6,68,-147,-37,18,-101,-41,-23,1,40,-15,13,-1178,104,18,-6,79,-24,-24,3,-1371,-113,-10,4,-66,-49,-29,5,0.0,362.5,0.13000111,101454.0,0.010259001,157.375,291.20502,1.5739973,"{""type"":""Point"",""coordinates"":[120.62483259606371,31.587594079250476]}"
00000000000000000d11,37,196,194,31,26,22,47,24,15,25,0,0,6,3537,-38,-85,9,45,64,-37,-10,34,-17,11,-2163,47,41,0,21,-33,-6,6,2861,-29,-28,-13,54,39,-40,-8,2.8569698,362.5,0.13000111,101454.0,0.010259001,157.375,291.20502,1.5739973,"{""type"":""Point"",""coordinates"":[120.60812434441645,31.517256219233428]}"
0000000000000000079f,42,195,193,36,30,29,49,42,33,32,1,1,23,977,-145,-21,53,-15,56,-73,-2,35,-10,16,1563,71,-3,-18,-32,7,-15,-5,1051,-115,-26,31,-3,49,-38,-2,1.8543341,348.625,0.13000111,101251.0,0.009751501,163.75,289.565,2.0689974,"{""type"":""Point"",""coordinates"":[117.37068766568422,33.426897459078994]}"
00000000000000001eea,35,199,197,29,25,24,78,46,26,29,0,0,145,3421,-275,-10,66,-100,29,-80,-9,42,-16,17,-1095,97,-26,-33,-46,-33,-18,2,1208,-156,-28,32,-50,-28,-61,-3,8.940272,350.75,0.13000111,99751.0,0.0092525,142.625,288.99,2.0699973,"{""type"":""Point"",""coordinates"":[113.7815572277656,32.732410306409015]}"
000000000000000018f4,44,190,189,40,37,35,26,8,5,37,0,0,44,-1812,-165,3,59,57,11,-1,6,5,-16,3,-5411,-32,38,65,66,-72,64,16,-1413,-106,0,43,48,14,-6,4,0.0,356.75,0.13000111,100988.0,0.009939501,147.5,290.075,2.3589973,"{""type"":""Point"",""coordinates"":[114.65175525744662,32.15784621747041]}"
00000000000000001907,34,197,194,28,24,18,83,34,17,21,0,0,53,991,-201,70,-19,-69,53,-57,-2,41,-15,16,-2262,147,-27,-11,-19,-43,27,6,1608,-106,45,-56,-70,39,-37,-4,1.8543341,356.75,0.13000111,100988.0,0.009939501,147.5,290.075,2.3589973,"{""type"":""Point"",""coordinates"":[114.62453690461638,32.10690990613689]}"
00000000000000001c6b,34,198,195,28,24,18,84,49,23,22,0,0,59,1109,-238,37,12,-91,76,-56,-2,43,-14,17,-2965,175,-6,-31,-27,-40,28,9,2418,-138,8,-35,-84,58,-42,-7,1.4352428,356.75,0.13000111,100988.0,0.009939501,147.5,290.075,2.3589973,"{""type"":""Point"",""coordinates"":[114.6967609643791,32.16835631865337]}"
00000000000000000e69,35,201,198,30,28,23,90,54,30,24,0,0,22,648,-221,-29,65,-52,68,-36,0,46,-12,21,471,82,11,-38,-26,-53,-33,-2,742,-147,-24,43,-43,30,-13,-1,3.5493617,354.875,0.13000111,101257.0,0.010090001,153.875,289.815,2.1619973,"{""type"":""Point"",""coordinates"":[116.69048301368842,32.963904537598665]}"
00000000000000001d7f,34,199,196,28,23,18,75,36,17,20,0,0,50,1014,-198,39,2,-94,-6,-14,-2,43,-16,16,-1975,81,-23,-16,25,5,-7,5,899,-116,27,-14,-73,-28,-15,-1,1.43448,355.125,0.13000111,100945.0,0.009980001,152.125,290.02997,2.2499971,"{""type"":""Point"",""coordinates"":[114.98053815542036,32.08508260648027]}"
00000000000000001e1b,35,199,197,30,26,24,73,39,21,28,0,0,47,2155,-188,41,-19,-79,33,-40,-5,39,-14,16,-1857,139,-48,-28,24,-29,0,5,1160,-115,43,-40,-53,4,-33,-2,1.4341757,355.125,0.13000111,100945.0,0.009980001,152.125,290.02997,2.2499971,"{""type"":""Point"",""coordinates"":[114.9640974498363,32.05166610318575]}"
0000000000000000191f,35,197,196,29,24,20,77,36,17,22,0,0,136,1213,-211,-11,12,-150,60,-23,-2,40,-15,16,-2591,132,4,-17,5,-55,1,7,1577,-136,-19,4,-132,48,-44,-4,1.8543341,355.125,0.13000111,99971.0,0.0096265,140.375,289.525,1.9359972,"{""type"":""Point"",""coordinates"":[113.74248212523426,32.45752456286828]}"
00000000000000001963,36,193,192,29,24,19,40,24,13,24,0,0,122,340,-201,-17,-1,-62,19,-15,0,32,-15,12,-1938,29,-12,-19,11,-3,-13,5,857,-153,-36,-9,-79,23,-29,-2,4.3040886,355.125,0.13000111,99971.0,0.0096265,140.375,289.525,1.9359972,"{""type"":""Point"",""coordinates"":[113.75110602667162,32.44189095457491]}"
00000000000000000d0f,41,192,191,35,29,23,37,18,10,26,0,0,2,324,-127,1,24,-67,-6,-27,0,24,-20,7,-493,74,14,-14,59,31,15,0,429,-128,22,9,-50,-12,-32,0,6.086198,363.125,0.13000111,101446.0,0.010212,157.75,291.33997,1.6619972,"{""type"":""Point"",""coordinates"":[120.68843275438903,31.49704311415815]}"
00000000000000000755,50,203,201,49,49,53,79,71,57,51,0,1,23,922,-127,-37,38,-45,56,-45,-2,26,-8,12,142,23,-10,-26,11,-59,-1,0,1724,-92,-18,24,-17,2,-25,-5,2.1539257,357.375,0.13000111,101024.0,0.0101615,152.0,290.03998,1.7739973,"{""type"":""Point"",""coordinates"":[116.79639112280879,32.25405578179955]}"
000000000000000010fa,46,204,201,43,41,46,68,72,67,40,1,1,46,338,-103,-6,-2,-40,47,-40,0,21,-4,9,582,5,0,7,11,-58,9,-2,800,-66,-7,5,-22,12,-20,-2,1.4358299,357.375,0.13000111,101024.0,0.0101615,152.0,290.03998,1.7739973,"{""type"":""Point"",""coordinates"":[116.72821146770163,32.23222402304188]}"
0000000000000000119f,43,204,201,40,36,37,66,59,51,35,0,1,39,291,-130,-13,6,-37,38,-32,0,27,-8,11,726,19,-10,-12,-3,-54,1,-2,627,-94,-9,8,-25,1,-15,-1,3.7716496,357.375,0.13000111,101024.0,0.0101615,152.0,290.03998,1.7739973,"{""type"":""Point"",""coordinates"":[116.73387006693841,32.2554024303177]}"
00000000000000001140,47,204,201,45,42,45,75,71,58,50,0,1,25,443,-88,-1,26,-12,21,-64,0,28,-6,12,1144,19,13,12,-19,2,0,-4,76,-60,-15,8,-3,29,-10,0,1.4463958,349.625,0.13000111,101272.0,0.0098520005,163.125,289.63,2.1049972,"{""type"":""Point"",""coordinates"":[117.29361210397538,33.3455099466515]}"
00000000000000001142,41,202,199,36,32,33,66,58,49,35,0,1,23,516,-133,-26,34,9,27,-48,0,30,-8,14,-57,65,-3,-13,-7,-2,1,0,790,-88,-29,19,6,14,-21,-1,0.92740995,349.625,0.13000111,101272.0,0.0098520005,163.125,289.63,2.1049972,"{""type"":""Point"",""coordinates"":[117.23189814539569,33.356827145125145]}"
00000000000000000c89,40,201,197,34,29,26,54,36,22,27,0,0,4,-337,-77,-9,5,-40,-1,1,2,29,-13,11,-634,44,18,18,10,10,5,1,-411,-58,0,-8,-26,-8,-12,2,0.92740995,366.0,0.16125111,101318.0,0.0102455,155.5,291.655,2.3109972,"{""type"":""Point"",""coordinates"":[120.84258387780663,31.046178947543183]}"
00000000000000000c1e,33,194,193,26,23,18,58,40,23,18,0,0,161,381,-80,-8,20,-60,-29,22,0,37,-13,16,418,43,2,1,8,-1,-11,-2,-1061,-48,-22,16,-52,-47,51,4,6.411958,352.125,0.16125111,97141.0,0.010975,149.75,288.97498,2.6589973,"{""type"":""Point"",""coordinates"":[115.96419355230523,30.785847709840915]}"
00000000000000001cce,35,199,196,29,26,21,84,49,23,24,0,0,28,1295,-250,51,-35,-135,118,-113,-3,37,-13,16,39,105,-86,-16,35,-95,-27,0,764,-168,66,-49,-75,34,-99,-1,2.1542432,354.125,0.16125111,101308.0,0.009903001,153.875,289.82498,2.1359973,"{""type"":""Point"",""coordinates"":[115.54728544021226,32.30579919042375]}"
00000000000000000c2a,33,191,190,27,21,17,51,31,17,17,0,0,436,596,-105,10,16,-46,-44,9,0,39,-15,13,-678,38,7,6,-2,16,-5,1,1131,-31,42,59,-2,-74,-38,-2,27.882948,360.5,0.16125111,100147.0,0.010801501,144.75,290.12,2.7699974,"{""type"":""Point"",""coordinates"":[116.52231693565983,30.713623650078244]}"
