system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000165a,30,24,21,36,33,182,182,23,28,1,938,35,3013,-149,-5,22,29,-40,-17,-10,-11,-349,46,7,-15,-12,16,-21,0,14,1204,-86,4,14,35,-57,-1,-3,9.195146,358.66666,0.16000111,92938.664,0.008527667,116.083336,288.41,1.0386639,"{""type"":""Point"",""coordinates"":[103.4922528925561,30.87909197196951]}"
000000000000000018a6,33,27,24,39,28,192,193,21,33,1,631,27,2048,-28,1,32,-8,-59,12,-6,-11,-609,28,1,-37,18,10,-9,1,11,840,-49,29,-18,19,-56,-4,-2,2.7802885,358.66666,0.16000111,92938.664,0.008527667,116.083336,288.41,1.0386639,"{""type"":""Point"",""coordinates"":[103.57094710794732,30.833551172910674]}"
00000000000000000b24,28,23,22,34,42,192,193,33,32,1,1764,19,-120,-212,100,-50,52,-102,55,1,-3,-469,39,59,-70,32,-25,-4,1,16,12,-6,-8,-8,26,-83,55,0,6.198272,307.25,0.16000111,77238.664,0.007325334,193.58333,284.68332,1.9353305,"{""type"":""Point"",""coordinates"":[98.30556032021946,25.254743090338213]}"
00000000000000000cf7,32,27,24,56,39,201,200,24,39,1,548,28,-1255,-130,-36,49,-49,9,10,5,-13,258,86,-34,-30,12,19,-21,-1,15,-524,-132,-16,23,-30,0,-20,2,10.318277,367.58334,0.15083444,96166.0,0.009341001,128.0,290.45667,0.79866385,"{""type"":""Point"",""coordinates"":[107.59530810418748,31.39814025279273]}"
000000000000000011be,39,31,30,38,31,201,200,25,35,1,370,17,645,-61,-16,66,-32,0,4,-1,-10,3079,14,-33,18,-13,-41,-3,-11,10,658,-49,-21,30,-10,-20,9,-2,14.620753,354.83334,0.15083444,93602.664,0.009070334,137.91667,288.92334,1.0033305,"{""type"":""Point"",""coordinates"":[107.24819830088408,31.913416134124724]}"
0000000000000000136a,39,35,35,53,53,201,201,41,44,1,373,25,1198,-50,-4,38,-17,-20,15,-3,-8,1758,-15,-6,-17,4,-40,-40,-6,13,792,-62,-8,14,-11,-30,13,-2,7.4575458,354.83334,0.15083444,93602.664,0.009070334,137.91667,288.92334,1.0033305,"{""type"":""Point"",""coordinates"":[107.24281170681154,31.913416134124724]}"
00000000000000001468,36,32,31,45,41,201,201,36,40,1,381,19,277,-67,-4,17,-46,6,21,0,-10,1258,14,-42,2,23,-17,36,-5,11,-137,-67,-34,22,-29,0,18,1,4.7535367,354.83334,0.15083444,93602.664,0.009070334,137.91667,288.92334,1.0033305,"{""type"":""Point"",""coordinates"":[107.22745010368241,31.926619532343967]}"
000000000000000014b9,39,34,34,49,51,201,201,44,40,1,398,20,562,-70,-23,16,-26,28,8,-1,-11,1973,-12,5,-8,-8,-25,-27,-7,12,797,-55,-12,9,-15,0,-2,-2,20.419744,354.83334,0.15083444,93602.664,0.009070334,137.91667,288.92334,1.0033305,"{""type"":""Point"",""coordinates"":[107.2533218079945,31.90963927553244]}"
00000000000000001578,40,36,35,47,51,201,202,39,44,1,401,18,99,-75,-23,44,-20,-42,17,0,-10,1612,-14,-16,-6,-14,-36,2,-6,10,396,-59,-20,22,-16,-27,18,-1,3.4026694,354.83334,0.15083444,93602.664,0.009070334,137.91667,288.92334,1.0033305,"{""type"":""Point"",""coordinates"":[107.24388635016541,31.914762782642857]}"
00000000000000001667,39,34,33,46,47,199,199,39,41,1,417,15,976,-53,8,-16,-20,12,-11,-3,-9,1769,8,-30,-1,19,-17,-7,-6,9,737,-45,-11,1,-18,1,-4,-2,13.87458,354.83334,0.15083444,93602.664,0.009070334,137.91667,288.92334,1.0033305,"{""type"":""Point"",""coordinates"":[107.24847030604836,31.916376977224207]}"
00000000000000001566,27,28,32,48,58,190,190,43,39,1,2703,18,606,-75,-49,36,-108,1,31,-1,-1,459,101,22,-24,87,-8,-23,-1,17,695,-41,13,-42,-45,-44,22,-1,4.249649,296.83334,0.08250111,72716.0,0.006162667,207.33333,284.44998,2.4406638,"{""type"":""Point"",""coordinates"":[100.74906743368884,27.3573385509685]}"
00000000000000000e43,28,27,26,65,50,192,192,30,44,1,1930,31,-601,-11,24,-26,-27,5,3,3,-11,966,-48,36,-19,-36,80,-54,-3,33,-504,22,37,-33,-7,-24,12,3,8.209312,330.83334,0.08250111,80226.0,0.009110333,194.08333,288.43,2.9073308,"{""type"":""Point"",""coordinates"":[102.79965193963172,24.98120399531563]}"
00000000000000000f25,36,36,38,55,68,200,200,57,45,1,1903,10,-1102,-47,14,15,-20,30,-13,4,5,-1095,-66,45,0,36,50,-33,4,9,-937,-35,18,2,-6,8,-13,3,4.135742,330.83334,0.08250111,80226.0,0.009110333,194.08333,288.43,2.9073308,"{""type"":""Point"",""coordinates"":[102.78482988773007,24.975005844851342]}"
000000000000000010cf,47,48,50,73,82,202,202,72,59,1,1970,19,2210,38,13,-16,23,-44,3,-7,3,-1362,80,-36,-18,102,-92,59,5,14,663,50,-13,-18,35,-58,38,-2,4.229304,330.83334,0.08250111,80226.0,0.009110333,194.08333,288.43,2.9073308,"{""type"":""Point"",""coordinates"":[102.83037514588996,24.987941697007386]}"
00000000000000001496,36,38,43,50,54,201,201,47,42,1,1937,9,517,-107,26,-9,-58,50,2,-1,3,-91,106,-35,13,21,-30,11,0,8,268,-46,5,-3,-31,23,4,0,1.8543341,330.83334,0.08250111,80226.0,0.009110333,194.08333,288.43,2.9073308,"{""type"":""Point"",""coordinates"":[102.78267614192127,25.053160509015086]}"
00000000000000001609,45,49,58,68,106,202,203,103,61,1,1914,7,421,-22,-3,3,-15,13,-11,-1,13,-72,21,-33,-1,34,-66,46,0,6,211,-11,-7,1,0,-7,0,0,4.738183,330.83334,0.08250111,80226.0,0.009110333,194.08333,288.43,2.9073308,"{""type"":""Point"",""coordinates"":[102.7923746867125,24.991446550435395]}"
0000000000000000178d,30,31,32,49,48,192,192,38,40,1,1974,13,1277,-57,52,-22,-34,38,-42,-4,-1,1104,-41,52,29,4,26,-57,-4,11,75,-20,43,-33,-15,0,-14,0,3.2032797,330.83334,0.08250111,80226.0,0.009110333,194.08333,288.43,2.9073308,"{""type"":""Point"",""coordinates"":[102.83468709660865,24.97743159582441]}"
