system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000066a,44,204,201,40,38,40,53,56,52,40,0,1,1417,13,234,-67,-9,-5,-22,-4,15,0,-11,385,39,41,28,16,-27,-71,-1,7,-116,-50,15,0,0,-7,1,0,0.92740995,299.5,0.056667782,84442.664,0.0060883337,170.25,282.26334,1.9239973,"{""type"":""Point"",""coordinates"":[106.66770806664546,35.2219977701647]}"
1_0000000000000000066b,33,194,192,28,27,26,55,50,38,30,0,1,1394,25,272,-135,10,12,-24,2,11,0,-15,848,42,-6,24,-81,-1,-14,-3,13,99,-101,0,34,-54,11,10,0,1.1341847,307.16666,0.06666778,86576.0,0.0063973335,167.66667,283.63666,2.1913307,"{""type"":""Point"",""coordinates"":[107.28511965760664,35.14950616433883]}"
1_0000000000000000066c,40,203,200,37,38,40,74,64,49,28,0,1,957,22,-83,-143,-9,24,-38,-1,21,1,-13,646,48,5,-25,-50,-7,-8,-2,12,-266,-69,-13,19,-33,-8,18,1,1.8543341,314.33334,0.07166778,88638.664,0.006816,165.5,284.72333,2.314664,"{""type"":""Point"",""coordinates"":[107.64193246480232,35.07620300212123]}"
1_0000000000000000066f,43,203,200,41,40,42,61,61,51,43,0,1,968,14,-344,-79,13,6,-30,19,-7,1,-12,1946,41,-17,-20,-27,14,-48,-7,9,676,-42,5,-7,-21,1,-4,-1,7.935235,316.5,0.061667785,88363.336,0.006454667,160.75,285.47,2.592664,"{""type"":""Point"",""coordinates"":[109.09181363143131,35.06730709551961]}"
1_00000000000000000670,42,206,204,39,33,34,47,53,49,39,0,1,776,13,-171,-65,-11,-2,-17,-1,3,1,-11,2247,-2,13,5,-13,-11,-26,-8,8,211,-47,-12,3,-4,-5,-5,0,2.9284763,329.33334,0.07000112,91945.336,0.0072760005,159.08333,287.75,3.066664,"{""type"":""Point"",""coordinates"":[109.59118389930563,35.17429876619598]}"
1_00000000000000000671,41,205,202,38,37,39,62,60,49,36,0,1,637,19,-130,-101,1,7,-42,-1,-2,1,-13,1638,42,10,9,36,4,-40,-6,11,934,-65,-8,15,-25,-12,-1,-2,0.0,339.33334,0.07166778,94776.664,0.008044001,157.5,289.25998,3.2999973,"{""type"":""Point"",""coordinates"":[109.78791497868262,35.14438265722843]}"
1_00000000000000000672,47,205,202,44,45,51,69,65,54,51,0,1,708,14,-62,-72,-1,-6,-15,-5,-11,0,-12,157,-17,32,3,-18,26,-7,0,9,-121,-59,9,0,-9,3,-5,0,1.1350725,336.66666,0.069167785,94244.664,0.007937334,156.16667,288.55667,3.2839973,"{""type"":""Point"",""coordinates"":[110.14230203490523,35.213106322664125]}"
1_0000000000000000069a,40,204,203,39,38,42,52,59,55,40,0,1,2481,8,374,-52,0,-1,-2,-7,10,-1,-5,-257,42,16,-31,-12,21,-44,0,7,295,-32,1,-5,-13,7,-2,0,2.458845,276.0,0.050001115,75455.336,0.0059550004,194.83333,279.24667,1.8593305,"{""type"":""Point"",""coordinates"":[102.01407427064196,35.51116601437962]}"
1_0000000000000000069c,40,202,200,39,38,41,56,53,44,40,0,1,2079,12,510,-99,8,9,-10,5,0,-1,-12,-414,49,4,-38,-33,34,-9,1,8,177,-43,1,-9,-25,12,-2,0,1.1387144,282.33334,0.06083445,78587.336,0.005776,190.58333,280.45667,1.6046638,"{""type"":""Point"",""coordinates"":[103.0597156312708,35.471818906684]}"
1_0000000000000000069d,42,205,202,40,43,48,68,74,68,41,0,1,1962,13,1104,-70,1,-3,-34,8,-5,-3,-11,1102,41,-2,11,-49,34,-8,-4,8,1261,-42,-5,0,-35,9,5,-4,2.1757855,280.5,0.05333445,79438.664,0.005234667,188.75,280.16666,1.4553305,"{""type"":""Point"",""coordinates"":[103.57148665917477,35.4914924605318]}"
1_0000000000000000069e,43,201,199,41,39,41,45,46,42,40,0,1,1883,8,171,-72,-10,-5,-18,-3,0,0,-14,450,-4,16,-7,-54,41,4,-1,5,257,-49,-7,-2,-13,3,-1,0,2.175008,289.75,0.04833445,80978.664,0.006117667,189.0,281.72333,1.8493305,"{""type"":""Point"",""coordinates"":[103.85822915241661,35.38611944353783]}"
1_000000000000000006a3,34,200,198,30,29,31,70,69,48,31,1,1,1578,23,209,-112,30,-2,-25,-6,20,0,-10,605,73,29,4,45,-21,-78,-2,13,799,-91,40,-12,-6,-21,9,-2,3.0030966,299.75,0.051667783,83243.336,0.0068060006,174.16667,282.35333,3.5633307,"{""type"":""Point"",""coordinates"":[105.80478728988366,35.34650478977902]}"
