system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001289,29,192,189,23,16,11,43,22,11,14,0,0,1021,45,1382,-224,7,35,-32,-1,13,-3,-28,-210,50,-25,-30,21,33,26,0,19,1660,-154,-34,65,-84,-33,-26,-4,39.10145,304.375,0.1562511,79888.0,0.006016,139.75,280.12,1.6689973,"{""type"":""Point"",""coordinates"":[108.59513220149218,31.81855321831371]}"
0000000000000000137e,30,189,188,26,23,18,80,43,21,18,0,0,1598,50,1000,-55,72,-59,-25,47,-27,-1,-23,-1119,18,-44,-3,44,-15,53,2,32,263,-85,145,-88,-49,84,-83,0,32.06978,339.375,0.1562511,83748.0,0.010781,190.25,289.11,1.8589972,"{""type"":""Point"",""coordinates"":[98.6413529250492,24.908712389489757]}"
00000000000000001182,29,195,194,23,18,12,43,22,10,16,0,0,739,34,714,-110,-17,35,-44,-13,5,-1,-22,-525,53,-3,-11,11,28,-8,0,16,1158,-123,-6,26,-28,45,3,-2,18.139977,369.625,0.1562511,95114.0,0.0108895,129.0,290.25,1.7039973,"{""type"":""Point"",""coordinates"":[108.07177642905134,30.79339250882334]}"
000000000000000010a4,34,199,195,28,25,19,75,42,23,24,0,0,307,41,1093,-178,21,26,-43,3,-12,-2,-20,-1671,96,27,24,4,-6,5,4,17,1724,-176,13,47,-60,12,-35,-4,22.444477,383.0,0.1562511,98477.0,0.011614,132.625,292.775,1.7159972,"{""type"":""Point"",""coordinates"":[108.58084970081798,31.154249720674496]}"
0000000000000000122b,31,199,195,25,21,14,71,35,14,19,0,0,404,46,2071,-127,-15,4,-117,3,-17,-5,-23,-1150,88,14,2,34,-17,9,2,19,2576,-150,15,49,-104,12,-48,-7,31.525549,383.0,0.1562511,98477.0,0.011614,132.625,292.775,1.7159972,"{""type"":""Point"",""coordinates"":[108.58031014959053,31.171497523549235]}"
00000000000000001179,31,195,192,25,22,16,93,52,23,18,0,0,382,61,2982,-117,87,4,-210,-113,-4,-8,-25,-1768,93,-23,-48,67,-42,21,5,36,2490,-64,123,64,-252,-85,5,-6,10.279649,381.875,0.1562511,97529.0,0.0120870005,133.875,292.21,1.4599972,"{""type"":""Point"",""coordinates"":[108.56333435188006,25.947883594490055]}"
0000000000000000123b,30,191,190,24,21,13,95,46,17,17,0,0,1385,51,2505,-243,153,-29,-143,73,-236,-6,-19,1848,32,-47,0,20,5,35,-6,21,-2975,40,29,6,47,-71,-6,10,32.259285,357.125,0.1562511,84239.0,0.010747001,144.375,289.305,2.3669972,"{""type"":""Point"",""coordinates"":[104.62224260871191,23.521352278731143]}"
000000000000000010fd,32,188,188,26,19,14,44,28,15,18,0,0,1468,40,1320,-199,93,16,0,-28,24,-3,-23,-426,58,-38,-17,27,-43,11,0,10,1322,-127,93,17,37,35,-19,-3,44.71923,349.75,0.1562511,88905.0,0.0093405,123.125,287.04498,1.3379972,"{""type"":""Point"",""coordinates"":[103.75500988123146,31.168532221348684]}"
000000000000000011cd,28,190,189,23,17,13,49,27,14,14,0,0,1466,39,-886,-5,5,27,-45,48,-49,4,-23,1168,-16,-43,-6,39,-26,6,-4,25,-506,112,41,0,-57,112,-81,3,17.964588,338.0,0.1562511,82259.0,0.009995,191.75,289.02,1.1339972,"{""type"":""Point"",""coordinates"":[100.1885182993612,23.53509522817787]}"
00000000000000000015,29,195,193,24,19,15,63,36,19,22,0,0,768,40,-233,-147,-13,28,-48,-24,1,1,-21,72,141,-15,-30,-24,-7,-31,0,17,-2,-95,-55,71,-54,-19,-36,0,44.89851,332.25,0.1562511,88047.0,0.007822,141.25,285.29498,1.6569972,"{""type"":""Point"",""coordinates"":[108.36902902347614,32.05247320047643]}"
00000000000000000fe8,29,194,192,23,20,17,85,50,25,20,0,0,1453,46,-1690,-180,-13,83,-88,32,-7,6,-19,1860,169,0,-24,-9,-41,-43,-6,19,-2366,-97,-61,126,-57,18,-52,8,39.59641,332.25,0.1562511,88047.0,0.007822,141.25,285.29498,1.6569972,"{""type"":""Point"",""coordinates"":[108.40406418045308,32.02121044299072]}"
00000000000000000807,33,199,198,33,43,57,81,98,83,48,3,0,4855,13,59,-21,9,0,-24,12,-6,0,-4,1350,62,18,-27,-22,4,0,-4,10,515,-2,5,-10,-23,10,-1,-1,3.8626544,230.875,0.057501115,57352.0,0.0029995004,228.375,271.765,4.0959973,"{""type"":""Point"",""coordinates"":[88.52883856930565,32.2079709724122]}"
000000000000000008d2,25,187,187,25,27,33,50,69,52,27,12,0,5006,13,25,-24,-15,12,-34,18,-2,0,0,-1110,24,-59,-58,46,-102,47,3,11,430,16,-18,-5,-19,-20,15,0,22.231298,233.625,0.057501115,56084.0,0.0032485004,239.875,273.07498,2.8319974,"{""type"":""Point"",""coordinates"":[86.25403262599129,29.38851704912679]}"
00000000000000000aeb,25,192,191,23,22,26,54,71,49,21,4,0,4645,22,50,-78,12,-1,-53,30,14,0,-21,1624,-21,19,44,-25,-33,100,-5,11,444,-47,-6,18,-48,-11,53,0,30.607107,254.375,0.057501115,58904.0,0.0037255003,202.875,275.05,1.9999973,"{""type"":""Point"",""coordinates"":[99.2404376106807,30.587502435882584]}"
